© 2000-2016 QIAGEN. All rights reserved.

Upstream Regulator	Exp Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
dexamethasone	 	chemical drug	Activated	6.829	9.45E-29	ACKR4,ACSL1,ACTA2,ADAM12,ADAMTS1,ADHFE1,ADRA2A,ALDH6A1,ALOX15B,ALOX5AP,ARHGEF2,ARMC8,ATP2A2,AXIN2,BDKRB2,BRCA1,C10orf10,CCR1,CD163,CDC42EP3,CDH4,CDKN2B,CEBPD,CFLAR,COL11A1,COL1A1,COL4A1,COL4A3,COL7A1,CPA4,CRABP2,CRISPLD2,CXCL12,CYP24A1,CYR61,DIO2,DUSP1,DUSP10,DUSP5,EDA,EGR2,EGR3,ENC1,ENPP1,ERRFI1,FABP4,FAM107A,FBN2,FGD4,FKBP5,FOXO1,FOXO3,FST,FSTL3,G0S2,GADD45B,GCLM,GDF15,GDF5,GLUL,GPR68,HMMR,HMOX1,HSPA6,ICOSLG/LOC102723996,IFIT1,IL12A,INHBB,IRS2,ITGA10,KCNK6,KLF15,KLF5,KLF9,LAMA2,LEP,LIF,LSP1,MAOA,METTL7A,MFGE8,MORF4L2,MT1M,MT1X,MXRA5,NAV3,NEDD4L,NEIL3,NFIL3,NGF,NOV,NR4A1,OMD,P2RX7,PDK4,PER1,PER3,PIK3R1,PRKG2,PTPN22,PTX3,RASL11B,RGCC,SCD,SERPINA3,SLC14A1,SLC39A10,SLC7A6,SMARCD2,SOCS1,SOX9,SPARCL1,STOM,STON1,TAGLN,TGFB2,TGFBR2,THBS1,TIMP4,TNFAIP6,TNFRSF11B,TSC22D1,TSC22D3,TSLP,VCAM1,VEGFA,WARS,ZBTB16	296 (19)	
TNF	 	cytokine	 	-0.272	2.17E-26	ACKR2,ACSL1,ACTA2,ADAMTS5,ADORA1,ALDH3A1,ALOX15B,ALOX5AP,ANPEP,AQP3,ARSI,ATF3,ATP2A2,AXIN2,BDKRB1,BDKRB2,BMPER,C10orf10,C1QTNF1,CCR1,CD163,CD82,CEBPD,CFLAR,CH25H,CHST7,CHSY3,CIDEC,CITED2,COL1A1,COL4A3,CXCL12,CYR61,CYTH3,DUSP1,DUSP10,DUSP5,EGR2,EPHB2,FABP4,FAM198B,FGFR2,FRZB,FST,FZD5,G0S2,GADD45B,GCH1,GCLM,GDF15,GDNF,GFPT2,GLS,GPRC5B,HMOX1,ICOSLG/LOC102723996,IFIT1,IL12A,IL4I1,INPP5D,IRS2,ITGA10,KLF5,KLF6,LEP,LIF,MAFF,MAP3K8,MARCKSL1,MMD,MMP10,MMP7,NAMPT,NEDD9,NGF,NID1,NNMT,NOV,NR4A1,NR4A3,NUAK1,PDPN,PDZD2,PHGDH,PLA2G4A,PRDM1,PTX3,RAPGEF5,RASSF7,RGCC,RND1,ROBO1,RRAD,SAMD4A,SAT1,SCD,SERPINA3,SLC14A1,SOCS1,SORBS1,SOX4,SOX9,STEAP4,TAGLN,TGFB2,TGFBR2,THBS1,TIMP4,TM4SF1,TNFAIP6,TNFRSF11B,TNFSF13B,TNFSF15,TNFSF9,TRPC6,TSC22D3,TSLP,TST,TXNRD1,TYMP,VCAM1,VEGFA	256 (18)	
TGFB1	 	growth factor	 	0.542	9.45E-24	AASS,ACKR2,ACSS1,ACTA2,ADAM12,ADORA1,ADRA2A,AIF1L,ALOX5AP,ANPEP,B3GALT2,BDH1,C9orf3,CALCOCO2,CCR1,CD163,CDC42EP3,CDH4,CDKN2B,CIDEC,CITED2,COL11A1,COL1A1,COL4A1,COL7A1,COMP,CORIN,CTPS1,CXCL12,CYR61,DNAJB4,DUSP1,EGR2,EGR3,ENPP1,EPHB2,FAM107A,FGFR2,FNDC5,FOXO1,FOXO3,FSTL3,GADD45B,GALM,GDF15,GDNF,GFPT2,GPRC5B,GRIN2A,HAPLN3,HMOX1,HSD17B6,IL12A,INHBB,INPP5D,KCNQ3,KLF15,KLF9,LEP,LIF,LOC102724788/PRODH,MAOA,MMP10,MMP7,NAMPT,NCOA3,NEDD9,NEGR1,NGF,NNMT,NOG,NOV,NPAS2,NR4A1,NR4A3,NUAK1,P2RY14,PDLIM5,PDPN,PHGDH,PLA2G4A,PPP1R1B,PRDM1,PTX3,RASL11B,RGCC,RHOB,RND1,RRAD,SAMHD1,SCD,SEMA3A,SERPINA3,SLC51B,SLC7A5,SOCS1,SOX4,SOX9,SPARCL1,TAGLN,TENM4,TGFB2,TGFBR2,THBS1,TJP2,TNFAIP6,TNFRSF11B,TNFSF13B,TSC22D1,TSC22D3,TUBA1A,TXNRD1,TYMP,VCAM1,VEGFA,XDH	297 (19)	
beta-estradiol	 	chemical - endogenous mammalian	 	-1.662	1.40E-20	ABHD5,ABLIM1,ACKR2,ACSL1,ACTA2,ADAMTS1,ADAMTS5,ADH1C,ADM2,ADORA1,ANPEP,ANXA4,APCDD1,ATF3,BLNK,BRCA1,CAMK4,CCR1,CDKN2B,CHRDL2,CITED2,COL1A1,COMP,CPM,CRABP2,CTPS1,CUBN,CXCL12,CYP24A1,CYR61,CYTH3,DUSP1,DUSP10,EGR2,EGR3,ENC1,FABP4,FGFR2,FNDC5,FOXO1,FOXO3,FRK,FST,GADD45B,GCH1,GCHFR,GDF5,GDNF,GPX3,GRIK4,GRIN2A,HMOX1,HSD17B6,HSPA2,INHBB,IRS2,KCND3,KLF6,KLF9,LEP,LHFPL2,LIF,LMCD1,MAOA,MAP3K8,MMD,MMP7,NAMPT,NCOA3,NEDD4L,NEDD9,NR4A1,NR4A3,OSBPL3,PDK4,PIK3R1,PIK3R3,PLA2G4A,PLXDC1,PRSS35,PSAT1,PTX3,RAMP3,RASGRP2,RND1,S1PR1,SAP30,SEMA3A,SEPT4,SERPINA3,SLC14A1,SLC38A2,SLC6A9,SLC7A5,SOCS1,SOX4,SOX9,ST8SIA1,STC1,STON1,SULT1C2,TGFB2,TGFBR2,THBS1,TM4SF1,TMEM37,TNFAIP6,TNFRSF11B,TNFSF13B,TSC22D1,TSC22D3,TXNRD1,USP53,VCAM1,VEGFA	292 (20)	
U0126	 	chemical - kinase inhibitor	 	1.006	3.15E-18	ACTA2,ALPK3,AQP3,ARHGEF2,ASIC2,ATF3,AXIN2,CDC42EP3,CEBPD,CFLAR,COL1A1,COL4A1,CYP24A1,DBP,DDAH1,DUSP1,DUSP10,DUSP5,EGR3,ERRFI1,FABP4,FGFR2,FKBP5,G0S2,GADD45B,GDF15,GDNF,GFPT2,HMOX1,KLF5,LEP,LIF,NAV3,NR4A1,NR4A3,PER1,PHC2,PLA2G4A,SCN1B,SOCS1,SOX9,STC1,TGFB2,TGFBR2,THBS1,TNFRSF11B,TSC22D1,TSC22D3,TUBA4A,TYMP,VCAM1,VEGFA	273 (21)	
PDGF BB	 	complex	 	0.438	1.46E-16	ACTA2,ADARB1,ATF3,ATP2A2,BDKRB1,BDKRB2,BRCA1,CCL8,CEBPD,CYR61,DUSP1,DUSP5,EGR2,EGR3,ENPP1,FRZB,GDF15,GDNF,GFPT2,GLUL,HMOX1,KLF6,LIF,NAMPT,NEXN,NFIL3,NR4A1,NR4A3,PLCG2,PRSS35,RHOB,SAT1,SCD,SERPINA3,SLC6A6,TAGLN,THBS1,VCAM1,VEGFA,XDH	175 (19)	
IFNG	 	cytokine	 	-0.493	2.70E-16	ACSS1,ACTA2,ADORA1,ADRA2A,AIF1L,ALOX5AP,ATF3,ATP2A2,BLNK,C10orf10,CALCOCO2,CAMK4,CCL8,CCR1,CD163,CDKN2B,CEBPD,CFLAR,CH25H,CHST7,COL1A1,CXCL12,CYP24A1,DBP,DUSP1,DUSP5,EGR2,EGR3,EMID1,FAM107A,FKBP5,FOXO1,GCH1,GCHFR,GDF15,GDNF,GGT5,GLS,GLUL,GPRC5B,HMOX1,ICOSLG/LOC102723996,IFI44L,IFIT1,IL12A,IL4I1,IRS2,KCTD12,KLF6,LEP,LIF,MAFF,MAP3K8,MARCKSL1,MCHR1,NAMPT,NEDD9,NGF,P2RY14,PHGDH,PPP1R1B,PRDM1,PTX3,RAP2B,RHOB,SAMHD1,SEPT4,SLC14A1,SLC6A6,SLC7A5,SOCS1,STX11,TGFB2,TGFBR2,THBS1,TIMP4,TNFAIP6,TNFRSF11B,TNFSF13B,TNFSF15,TSC22D3,TYMP,VCAM1,VEGFA,WARS,ZBTB16	202 (13)	
lipopolysaccharide	 	chemical drug	 	0.402	1.31E-15	ACSL1,ACTA2,ADORA1,ADRA2A,ALDH3A1,ALOX5AP,AQP3,ATF3,ATP2A2,BDKRB1,CCL8,CCR1,CD163,CDC42EP3,CEBPD,CFLAR,CH25H,CHST7,CITED2,COL1A1,COL4A1,CUBN,CXCL12,CYR61,DIO2,DUSP1,DUSP5,EGR2,EGR3,FABP4,FOXO1,FST,G0S2,GADD45B,GCH1,GCHFR,GLS,HMGB2,HMOX1,HSPA4L,ICOSLG/LOC102723996,IFI44L,IFIT1,IL12A,IL4I1,INHBB,INPP5D,KANK1,KLF6,LDB2,LEP,LIF,MAFF,MAP3K8,MARCKSL1,MMP10,MMP7,MT2A,NAMPT,NCOA3,NFE2,NFIL3,NGF,NID1,NNMT,NR4A1,NR4A3,PDK4,PIK3R1,POU2F2,PPP1CB,PRDM1,PTPRCAP,PTX3,RASL11A,RHOB,S1PR1,SAT1,SCARF1,SEMA3A,SEPT4,SERPINA3,SLC39A10,SOCS1,STEAP4,STX11,TGFB2,THBS1,TIMP4,TNFAIP6,TNFSF13B,TNFSF15,TNFSF9,TSC22D1,TSC22D3,TYMP,VCAM1,VEGFA,WARS,XDH	245 (16)	
IL1B	 	cytokine	 	-0.120	2.27E-15	ACKR2,ACTA2,ADAMTS1,ADAMTS5,ATF3,ATP2A2,BDKRB1,CCR1,CD82,CEBPD,CFLAR,COL1A1,CXCL12,DBP,DUSP1,DUSP5,ENPP1,ERRFI1,FGFR2,FKBP5,FOXO1,FST,G0S2,GADD45B,GCH1,GCHFR,GDF15,HMOX1,ICOSLG/LOC102723996,IFIT1,IL12A,IL4I1,IRS2,LEP,LIF,MAP3K8,MARCKSL1,MMP10,MMP7,MT2A,NAMPT,NFIL3,NGF,NR4A1,NR4A3,PLA2G4A,PLB1,PPP1R14A,PTX3,RHOB,SEMA3A,SERPINA3,SLC14A1,SOCS1,SOX9,TGFBR2,THBS1,TIMP4,TNFAIP6,TNFRSF11B,TNFSF13B,TSC22D3,TSLP,TYMP,VCAM1,VEGFA	232 (15)	
triamcinolone acetonide	 	chemical drug	Activated	3.170	3.24E-14	ACKR4,ACSL1,AQP3,ATF3,ATP10A,DUSP1,DUSP10,EPHA4,FGFR2,FKBP5,FOXO3,ITGA10,KLF15,KLF9,LSP1,MT1E,MT1M,MT1X,MT2A,MXRA5,PER1,PER3,RASL11B,RGCC,SCD,SERPINA3,SOX4,TGFB2,TSC22D3,ZBTB16	174 (8)	
